,name,company
3492,Продавец-консультант/продавец-кассир в MANGO Керуен Сити,K&K GmbH
3493,Секретарь руководителя,Народный банк Казахстана
3494,Бухгалтер-кассир,Тумар Мунай Ресурс
3495,Продавец в фотомагазин,ФОТОДЕЛО
3496,Учитель английского языка,Общественный фонд «NNEF»
3499,Бухгалтер,KOZ IN OPTICA
3501,Официант,Маметов
3502,Бариста,TRANZITKA HOLDING
3503,Бухгалтер,Евротранс Групп
3506,Стикеровщица/Стикеровщик (г. Астана),Дудар
3507,Печатник,Alem-Design
3510,Юрист,Dmistral
3511,Упаковщик,VILAVI
3514,Бухгалтер-кассир,НУРАЙ ТЕРМО
3515,Менеджер по продажам (гибкий график),Alem-Design
3519,Бухгалтер,ТРЦ Керуен (Build SYSTEM)
3522,Мерчандайзер,Шин-Лайн
3523,Оператор видеонаблюдения,JFOOD KAZAKHSTAN
3524,HR-менеджер (с функциями специалиста по кадрам),АгроТехМенеджмент
3525,Офис-менеджер (секретарь),HR Solutions (ТМ Белый Ветер KZ)
3526,Торговый представитель,Umit Orda Sauda
3527,Администратор на ресепшен,Дуйсебек
3528,Юрист,AG TECH
3530,Журналист социальных сетей новостного портала,Институт анализа социально-политических процессов
3531,Java-разработчик,Iberica Group
3534,Офис-менеджер,Kiddi
3535,BI-аналитик данных,ILA Group
3536,Администратор салона красоты,Meet me group
3538,Оператор по учету кег,ALMAWINE
3540,Кадровик,Проект Пинта
3541,Администратор пункта выдачи,Teez
3542,Бухгалтер,AST Legal Group
3544,Журналист,AP-media group
3545,Упаковщик,Константа
3546,Медицинская сестра/медицинский брат,БЕРКУТ-2016
3547,Бухгалтер-оператор,Тералайн Телеком
3548,"Frontend Web разработчик (React, NextJS) middle+/senior",Elite Business Group
3549,Старший юрист в отдел правового сопровождения проектной деятельности ЮД,Евразийский банк развития
3550,Администратор,Зерделі
3551,Водитель на своем автомобиле,Новатор Фарма
3552,Тренер,Хайруллин Руслан - Rider School
3554,Преподаватель английского языка,Astana Language School
3555,Администратор в стоматологию,NRT ЦЕНТР ЭСТЕТИЧЕСКОЙ СТОМАТОЛОГИИ И КОСМЕТОЛОГИИ
3557,Junior Data Scientist,РГП на ПХВ Информационно- вычислительный центр Бюро национальной статистики Агентства по стратегическому планированию и реформам Республики Казахстан
3558,Химик-технолог/фармацевт,Medicine Equipment Service
3561,Администратор в частный детский садик,«Kaz Investment Group «SEN»
3562,Бухгалтер,Эм-Си Баухеми
3563,Продавец-кассир,Punto (Пунто)
3564,Оператор,"Galanz Bottlers, АО"
3565,Ассистент педагога в группе,Поспелова А.Ю (Лого-центр SpeechWell)
3568,Администратор,Gazitbek
3569,Экономист,Sensata Group
3570,Лаборант,Астана-ДорСтрой НС
3571,Главный бухгалтер,Partner leasing
3573,Бортпроводник,"AIR ASTANA, АО"
3574,Помощник бухгалтера,Гауди-Астана
3575,Лаборант КДЛ,Аханұлы Асылхан
3576,Администратор / Управляющий офисом,SDELKA PLUS
3578,Администратор,ADALIN MED
3579,Администратор,Invictus Astana
3581,Юрист,DALA SK UNIVERSITY
3584,Администратор,Astina-Астана
3585,Инженер-программист,Полимедиа
3586,English medium kindergarten teacher,Мухамбеткалиева
3587,Водитель руководителя,Строй АстанаСнаб
3589,Сборщик электрощитов,Компания ВЭЛС
3590,Ведущий специалист материально-хозяйственного обеспечения,Астана Тазалык
3591,Руководитель логистики/Операционный директор на 1 милю,YM POST.KZ
3592,Бухгалтер,Даулетбек Амандық
3593,Бухгалтер,AUM+
3594,Кладовщик,Прогресс СБТ
3595,Администратор торгового зала (автосалон новых автомобилей),DCG Esil
3596,Менеджер по персоналу,"AMF Group, АО"
3597,Системный администратор,Жасмин
3598,Аналитик,Global Information Systems
3601,Директор по развитию бизнеса,BI GLOBAL
3602,Бухгалтер,BuhAuditService
3603,Продавец-консультант в магазин женской одежды,Батырбаева
3605,Помощник бухгалтера,Silos KZ
3607,Бухгалтер-кассир,MEGA-AGAT
3610,Диспетчер транспортного отдела,Транспортная Компания Беркат V
3611,Администратор детского центра,Калугина
3612,Администратор в медицинскую клинику,Куттибаев А.А
3613,Медсестра / Медбрат / Фельдшер (Есть ночные смены для совмещения),Alcomed
3614,Менеджер (в офис),Samorodok Jewellery
3615,Менеджер по продажам,АстанаЭксперт ХХI
3616,Fullstack-разработчик,DAMU RG Исследовательская группа
3617,Медицинский регистратор (администратор),Медицинский центр EMIRMED
3619,Администратор / Ресепшен-менеджер в офис,MARSHAL INTERNATIONAL LOGISTICS
3621,Офис-менеджер,Hyundai Auto Astana
3622,Администратор ресторана,Сауров
3623,Менеджер по продажам автозапчастей,Корея Моторс
3624,Администратор,"Beauty club Pafos, ИП"
3625,Помощник бухгалтера,Лидер-НСТ
3626,Администратор,ATLETIKKIDS
3627,SMM специалист,Standart price
3628,Бариста в Кофейню,Лаура
3630,Менеджер по тендерам,Жакенов С. Б.
3631,Офис-менеджер,BI GLOBAL
3632,Контент-маркетолог,ecowatch.kz
3633,Офис-менеджер,"Футбольный Клуб Астана, ЧУ"
3634,Администратор (ресепшионист),Oftum Kazakhstan LLP
3635,Системный администратор,У Реки xah.exe
3636,Няня,Нуркеева
3637,Помощник маркетолога,Один на Биллион
3638,Бармен,"Арка, сеть ресторанов"
3639,Помощник бухгалтера,ГлавБух
3640,Менеджер,Аделя
3641,Администратор салона красоты QUEEN BEE,Амиркулова
3642,Ассистент менеджера wildberries,W-1
3643,"Специалист по закупкам (""Самрук-Казына"")","Самрук-Энерго, АО"
3644,Вожатый,A.K.N.Power
3645,Дизайнер интерьеров,Школа Мебели
3648,Фельдшер,Центр Семейного Здоровья №5
3649,Графический дизайнер,LANDJER
3650,Кассир в ZEBRA COFFEE,AB-group
3652,Дорожный рабочий (Разнорабочий),СпецтреидТМ
3653,IT специалист,ORDAMarket
3654,Офис-менеджер,Гювен Сервис
3656,SMM-менеджер,Kings Inc
3657,Главный энергетик,PET
3658,Менеджер по кадрам (Кадровое администрирование),ТССП Казахстан
3660,Сварщик,BN BUILD
3663,Повар-универсал,Бопан
3666,Личный ассистент директора,Косыбаев
3667,Водитель специального транспорта,"AIR ASTANA, АО"
3668,Аниматор,ДОМИАНТ
3670,Менеджер департамента администрирования обучения,Частное учреждение Samruk Business Academy
3671,Главный бухгалтер,ALTYN TRANS (АЛТЫН ТРАНС)
3672,Пресс-менеджер Отдела маркетинга и медиа аналитики,РТРК Казахстан
3673,Продавец-консультант в магазин для кондитера,Аружан
3675,Операционный директор,TND
3676,Старший повар (Шеф повар),YOURTA
3677,Офис-менеджер,Gabdullin Partners
3678,Офис-менеджер,ORDA INVEST
3679,HR менеджер,Sana Интегра(Сана Интегра)
3680,Менеджер караоке клуба,Дуйсенбаева Ж.Р
3681,Юрист по договорам,Ronesans Infra Construction (Ронесанс Инфра Констракшн)
3682,HR-менеджер,Мой дом MWC (TM ULYTAU GROUP)
3683,Кладовщик,Калинин М.С
3684,Офис-менеджер,Сервисная компания
3686,Аналитик данных,HR Solutions (ТМ Белый Ветер KZ)
3687,Шеф-повар,SAVORE
3689,Бухгалтер-кассир,Mycar Astana
3693,Менеджер по персоналу (HR Generalist),Integra Construction KZ
3694,Контент-менеджер,Мастер Кофе
3695,Шеф-повар,МУКЫШ
3696,Продавец-кассир,"Дария-2012 (Диона, ТМ)"
3697,Помощник руководителя / Офис-менеджер,QAZCLINKER
3699,Продавец-консультант одежды,Ana bolu
3701,Менеджер отдела продаж,Рекрутинговое агентство CHANGE (ИП Куприянова)
3704,Менеджер по персоналу (HR-специалист),Назымбек
3705,Главный бухгалтер,KMG PetroChem
3706,Переводчик испанского/английского/китайского/турецкого языка,Vertigo
3708,Главный бухгалтер с функциями финансового директора,Manafov
3709,Бухгалтер-оператор,Қазақ дала
3711,Администратор салона красоты,Starmoon салон красоты (БАЙБАТЫРОВА Ж.)
3712,Администратор в массажный SPA-салон,ХАКИМА
3713,Уборщица/уборщик склада,СвязьСтройСнабСервис-2008
3714,Менеджер по маркетингу и администрированию,"Филиал China National Chemical Engineering Co., Ltd. (Чайна Нэйшенл Кемикал Инжиниринг КО., ЛТД.) в г. Нур-Султане"
3715,Преподаватель английского языка в минисад,ИНТЕР-А 2020
3716,Администратор офиса,SMART RETAIL
3719,Продавец-бариста,Калиева Т.
3720,Официант в ресторанную группу,Роман
3721,Системный администратор СКУД и видеонаблюдения,Match me
3722,Художник-дизайнер,Design Pro
3723,Ресепшионист,ForteBank
3726,Медицинская сестра/Медицинский брат,МУЛЯВКА К.В
3727,Продавец-кассир в Алкомаркет,Хамзин
3728,Оператор 1С,Лучшие 11
3730,Менеджер по продажам (теплые продажи),MoneyFest International (МаниФест Интернешнл)
3732,Администратор на ресепшен,ТехноВзрыв
3733,Администратор в музыкальную школу,MuzPartners
3735,Администратор химчистки,Мухамедьярова З.М.
3736,"Продавец-консультант магазина ""Nike""",Delta Sport (Казахстан)
3737,SMM-менеджер,Kabiden
3738,Водитель на личном автомобиле (замена батарей в электросамокатах),ВУШ КЗ
3739,English teacher,Next Level Academy ( ИП ҚАЛДЫБЕК А. С)
3740,Графический дизайнер,Центр Ипотеки Астаны
3741,Куратор,Bilim Land (Bilim Media Group)
3742,Менеджер кофейни,DK consulting group
3743,Продавец-консультант,FREEDOM MOBILE
3744,SMM-менеджер,Серік Е.А
3745,Бариста,hughub
3748,Региональный менеджер,Solum
3750,Уборщик помещений,Завод АБК-Бетон
3751,Няня в семью,Прогресс СБТ
3752,Автомеханик,GWM Nurly Zhol
3754,Администратор-менеджер,ТУРЕКУЛОВА АЙНУР АБДУАЗИМОВНА
3755,Бармен,PROSECCARNA
3757,Инженер по технической документации,BOLASHAK ELECTRIC
3758,Бухгалтер,USC Company
3759,Проектный менеджер,A-Event KZ
3760,Няня,Astana Dental Сare
3762,Маркетплейс-менеджер (Wildberries / Ozon / Kaspi),PROSTO KZ
3763,Sales Intern,Coca-Cola İçecek Kazakhstan  ( ТОО СП «Кока-Кола Алматы Боттлерс» )
3765,Офицер комплаенс-службы,Астана Тазалык
3766,HR-специалист,"ProVino Astana (Федина, ИП)"
3767,Администратор,МУХАМЕДЖАНОВА Г.Б. (ONESHOTT COFFEE)
3771,Frontend-разработчик (React TS),Smart International Business Online
3772,Специалист по контролю затрат,RG Gold
3773,Бухгалтер,NEW LOGISTIC SOLUTIONS
3774,Представитель авиакомпании со знанием китайского языка,CHINA SOUTHERN AIRLINES
3775,Администратор магазина одежды,Kidli kids
3776,Главный бухгалтер,АзиятехноЭнергия
3779,Администратор на ресепшен,КЛИНИКА Дарус
3780,Бухгалтер,SEED Educational Complex
3781,Java-разработчик,нВент Термал КЗ
3782,SMM-менеджер,Ибраев К.А
3783,Продавец-кассир в минимаркет,КАИРЖАНОВА К. Р.
3784,Флорист в цветочный салон,Mono flowers
3785,Личный водитель первого лица компании,Микрофинансовая организация «R-Finance»
3787,Переводчик с английского на русский язык,Kantai Enterprise
3790,Бариста-кассир,MANSI CO (Morris)
3791,Помощник юриста,"Филиал China Railway Asia-Europe Construction Investment Co., LTD в РК"
3793,Переводчик китайского языка,"Филиал China Railway Asia-Europe Construction Investment Co., LTD в РК"
3794,Специалист по вопросам логистики,"AIR ASTANA, АО"
3795,Ассистент руководителя,RHENUS INTERMODAL SYSTEMS
3796,Администратор ресепшен в отель,Vistal Group
3797,Офис-менеджер,STS PROM
3799,Контролер службы безопасности (в склад),GQ-Group Invest
3800,Помощник бухгалтера,Ерланқызы
3801,Бухгалтер по работе с поставщиками,MAGNUM
3802,Делопроизводитель-архивариус,QazaqOil (PetroRetail)
3804,Администратор в центр коррекции фигуры,МУЛЯВКА К.В
3805,Маркетолог,Entryx
3806,Тайный проверяющий,4Service Holdings GmbH
3807,Главный PR менеджер,Национальная палата предпринимателей Республики Казахстан Атамекен
3808,Секретарь – ресепшионист (г. Астана),KAZ Minerals Management
3809,Проектный менеджер по внедрению информационных систем,Cleverest Technologies
3810,Кассир-бариста в ZEBRA COFFEE,САБР
3813,Продавец-консультант,Jadi
3814,Бариста,АСЫЛБАЙ
3815,Бухгалтер в единственном лице,ТД Qaz Fiber cement
3817,SMM-менеджер,Rasul
3818,BI Аналитик / BI Analyst,Buzz
3820,Вожатый в летний лагерь,Multi kids
3821,Администратор,Развитие
3822,Java-разработчик,OIIYN
3824,Инженер администратор Деапартамента администрирования IT инфраструктуры,Национальные информационные технологии
3825,SMM-менеджер в Медицинскую Клинику,Куттибаев А.А
3828,Юрист строительной отрасли,TUMAR Group
3831,Онлайн менеджер в сеть магазинов Avenue,AVE
3832,Бармен/Официант,Rest Estate (Fuller’s Pub & Wine)
3835,Продавец-консультант,Жензакова Ж. К.
3836,Менеджер по продажам,Ozat Online
3838,Администратор в медицинский центр,ФИЛИАЛ РДЦ- КЛИНИКА ANIMED
3839,Продавец-консультант DAMU MALL,Орматек
3840,Менеджер по академическим и студенческим делам (на время замещения основного работника),Nazarbayev University
3842,Менеджер отдела продаж недвижимости от Застройщика,MERIDIAN story LTD
3843,Офис-менеджер,Law Council Group
3844,Менеджер по продажам выходного дня ночь,CREATEPRO PARTNERS
3846,Бариста в кофейню OneShott,МУХАМЕДЖАНОВА Г.Б. (ONESHOTT COFFEE)
3847,Тестировщик ПО,WSE
3848,Бармен в фитнес клуб INVICTUS HIGHVILL,INVICTUS HIGHVILL
3849,Разнорабочий,Константа
3850,Юрист,АскомМЕТ
3851,Офис-менеджер,Абилдаев Б.Ж.
3853,Инженер - механик по ремонту оборудования,Тал Инженеринг Казахстан
3855,Contract Commerce and Fulfillment Manager,Хуавей Текнолоджиз Казахстан
3856,Парковщик самокатов,ВУШ КЗ
3857,Официант,КАСАБЕКОВА С.Ш.
3858,Сварщик,КазСпецИнжиниринг-А
3859,Администратор стоматологической клиники,Дэнтал Старс Груп
3860,Бухгалтер-оператор 1С/ оператор 1С,Лучшие 11
3861,Шеф-повар,QAZAQ ELI (AQ AÑYZ)
3862,Системный администратор,Сервисный центр КазТурбоРемонт
3863,Менеджер по туризму,KAZTOUR
3865,Мастер лазерной эпиляции,Laser beauty KZ ( Лазер бьюти КЗ)
3866,Официант в детское кафе,BALABOOM
3867,Менеджер по подбору персонала LF,LF Group
3868,"Менеджер в отдел продаж (Найдись пожалуйста, Айналайн)",OP-ONAY
3869,Няня,Бизнес Алматы
3870,"Медицинская сестра/медицинский брат, г. Астана",Медикер
3872,Бармен в развлекательный комплекс,Дуйсенбаева Ж.Р
3873,Менеджер развлекательного комплекса,Дуйсенбаева Ж.Р
3874,Стажер в HR отдел,Integra Construction KZ
3875,HR менеджер,Avesta
3876,SMM-менеджер,Медиатур
3877,Специалист по персоналу,"Трест Средазэнергомонтаж, АО"
3878,Менеджер Департамента Private Banking,Altyn Bank
3879,Администратор стоматологии.,Ayanat Dent
3882,SMM-менеджер,VLAD BYKOV
3883,Монтажник охранно-пожарных систем,Охранное агентство ABC BERKUT
3884,Ведущий специалист в отдел поддержки пользователей(Вахта),Sary-Arka Copper Processing
3885,Мобилограф / СММ специалист / контент-мейкер,MEDANA Group
3886,Помощник Председателя Правления,Частная компания Sana Holding Ltd.
3887,Администратор в клинику дерматологии и косметологии,SMARTDERMA
3888,Флорист,РАХИМЖАНОВА А. Б
3890,Оператор чата,OPATRA LONDON (ОПАТРА ЛОНДОН)
3891,Учитель английского языка,Иманмаликова
3892,Повар в дом,SG Beton завод
3893,Оператор БРУ,Аверс Бетон
3894,Менеджер Департамента управления человеческими ресурсами,Astana IT University
3895,"Видеограф, Астана",Yass Media
3899,Управляющий в Киберспортивный клуб,TOP Game (Жабагина М.А.)
3900,Заведующий складом бакалеи,QazAgroLogistic
3901,Менеджер по работе с клиентами QazPost,SHOPOGOLIC KZ
3902,Помощник Бухгалтера,Best Products Company
3904,Корпоративный менеджер,Банк ЦентрКредит
3907,Водитель семейный с личным автомобилем,Real Trade Astana
3910,Администратор стоматологии,Амели 888
3911,Картограф,KazGeoPro (КазГеоПро)
3912,Специалист по подбору персонала/HR-Менеджер,MEIR DESIGN
3913,Администратор в учебный центр,SCHOOL OF SKILLS
3915,Менеджер по логистике,FORSAGE LOGISTICS KZ LLC
3918,Официант (Cooffe BOOM),ВИК 21
3919,Продавец,Джанусаков
3920,"Менеджер пункта выдачи заказов, Бейбитшилик",Flip.kz
3921,Кассир,Народный банк Казахстана
3922,Кадровик/офис менеджер,BEKSAR consulting
3923,Официант,Маусымбаева
3924,Кондитер (ночная смена),Dostar coffee
3925,SMM-менеджер,360Solutions
3926,Администратор,GetFit
3927,Тестировщик / QA-инженер,KazInSys
3928,Руководитель отдела маркетинга и рекламы,APACHICRAFT (АПАЧИКРАФТ)
3930,Аналитик,Центр электронных финансов
3931,Оператор колл-центра в цветочный магазин,БОРАНБАЙ К.
3932,Маркетолог-универсал / маркетолог,MEDANA Group
3933,"Менеджер в ресторанную группу - Pasta La Vista, Tangiers lounge, Six Coffee+Wine",Роман
3934,Бухгалтер-кассир,General Trade Сompany
3935,Управляющий,PVE holding
3936,Сборщик-упаковщик,Salt&Sugar
3937,Администратор,Lexis Academy
3938,Менеджер по продажам,The Akan Building
3939,Администратор,Эмиль
3941,Помощник СММ специалиста/SMM,Центр развития предпринимателей
3942,Учитель английского языка,Зерделі
3943,Менеджер в языковую школу (English level - B1-B2),LingvoEdu
3944,Педагог группы продленного дня / репетитор,Childrens University
3945,Менеджер Центра персонального сервиса,Народный банк Казахстана
3947,Начальник службы информационных технологий,Расчетно-финансовый центр по поддержке возобновляемых источников энергии
3948,Мобилограф,OPATRA LONDON (ОПАТРА ЛОНДОН)
3949,Бариста в ZEBRA COFFEE,AB-group
3950,Главный бухгалтер,"Полипласт-Казахстан,ТОО"
3951,Управляющий магазином,True Trade
3952,Офис-менеджер,Компания ВЭЛС
3954,Бухгалтер,Экомед Плюс
3955,Администратор,Филиал Федерация Тенниса
3956,Менеджер по туризму,AiTour
3957,Секретарь (офис-менеджер) со знанием казахского языка,Жеті Аспан
3958,Администратор на ресепшн,Алатау
3960,Технический специалист,Best Asian Company
3961,Ключница/ключник,Orda Construction Co
3962,Хостес,JOY-JOY COFFEE ( Dark Side )
3964,Продавец-консультант в оптику,MEGA OPTICS ASTANA
3965,Кассир в ресторан GINZA,Мастер
3966,Менеджер по логистике,Center Beton Company
3967,Офис-менеджер,КАЗАХ МИНЕРАЛ ТЕХНОГИЗ (КМТ)
3968,Графический дизайнер,"CoffeeService4You, ТМ (Князев, ИП)"
3970,Кассир в кофейню “ZEBRA COFFEE”,DINA
3972,Продавец-консультант в секс-шоп,DAMM
3973,Диспетчер,STS PROM
3974,Педагог-хореограф,Булган
3975,Финансовый менеджер,PGS Astana
3976,Продавец (PUMA),STR Company
3977,Продавец-консультант в ТРЦ Хан шатыр,Ремесло народов Казахстана
3978,Продавец-консультант в магазин косметики,Adore my skin
3979,Директор / Управляющий,Sunrise 2012
3980,Менеджер по закупкам и снабжению в г. Астана,Гулденустрой
3981,Водитель-экспедитор,Калинин М.С
3982,Ведущий бухгалтер по расчету заработной платы,QazaqOil (PetroRetail)
3983,"Бухгалтер, кассир",Галерея Центр
3984,Упаковщик,Тәп-Тәтті
3986,Куратор в центр развития подростков,Enterprise
3987,Комплектовщик,KDV Казахстан
3988,Водитель с личным автомобилем,WHITE LINE
3989,Копирайтер,JNG
3990,Бухгалтер,СпецтреидТМ
3991,Бариста,GLOBAL COFFEE MANAGEMENT
3992,SMM-менеджер,Techno Khan
3993,Юрист,Частный фонд Fund Qoldau
3995,Полиграфист-дизайнер,Полиграфия
3996,Оператор 1с,СнабДи.Кз
3998,Продавец-кассир,GGD
4000,Младший аналитик,BI GLOBAL
4001,Начальник юридического отдела,АltaiMiningGroup
4002,Администратор,ТЕМИР ТРЕЙД КОМПАНИ
4004,Снабженец,ЧК BI Development Ltd.
4005,Помощник Юриста,Агентура юридического сотрудничества
4006,Медицинская сестра/медицинский брат,A-Medical Systems
4007,Ведущий специалист линии поддержки (Системотехник/Айтишник),ZAMIL ALMATY (Bahandi)
4008,Менеджер по продажам,Асыл Д.В.
4009,Администратор в детский центр,Магыпарова
4010,Ментор / куратор,МЫРЗАГАЛИЕВ С.М. (ОЦ Booster)
4011,Главный сетевой инженер,РГП на ПХВ Инженерно-технический центр Управления Делами Президента Республики Казахстан
4012,AI-аналитик по оптимизации бизнес-процессов,"EUROPHARMA, ТМ (ТОО AK NIET GROUP)"
4013,Начальник участка/смены,Электромонтаж
4014,HR директор,КАЗАХСТАН-МЕД ДЕЗ
4015,Водитель,Жасыл Жер
4017,Помощник бармена/барбек,Rest Estate (Fuller’s Pub & Wine)
4018,Няня,ШАИР
4019,SMM-менеджер,THE STOM
4020,Младший дизайнер,ТССП Казахстан
4021,Администратор магазина,Тортаев А.Б
4023,Продавец-консультант одежды,Altynym story (ИП Майрамбаев)
4024,"Официант в ресторан Дареджани, Астана",AB Restaurants
4025,Администратор,Muse School
4027,Бухгалтер,Кристалл Авто
4029,Продавец-кассир,AIT Shoes (ИП Коробкин С.Т.)
4031,Поездной диспетчер,Multi port systems kz (Мулти порт системс кз)
4032,Продавец-консультант,Байгожина E.А.
4033,Менеджер в полиграфию,Z&A COMMUNITY
4034,Юрист,Dostar coffee
4035,Помощник юриста,Overcome
4036,Бухгалтер,BERTYS CONSTRUCTION
4038,Администратор салона красоты,Жумабекова
4039,Преподаватель английского языка,ШКОЛА ТАЛАНТОВ
4040,Переплетчик/упаковщик,Устинов Дмитрий Игоревич
4041,Менеджер по продажам / продавец-консультант автомобилей,Rox Motor Qazaqstan
4043,Флорист,Цветочный салон Ананас
4044,Администратор стоматологии,LinguaDream
4046,Главный менеджер/Менеджер ИТ Департамента,Корпоративный фонд University Medical Center
4047,ИТ специалист (инженер) технической поддержки,Жилищный строительный сберегательный банк Отбасы банк
4048,Делопроизводитель/архивариус,Республиканская Медицинская Академия
4049,Главный бухгалтер,Маслов И.П.
4050,Сборщик зеркал,АБДУЛЛАЕВА Л. А.
4052,Менеджер по работе с клиентами,QazaQ Carpets
4053,Кассир 1с (бегунок),Kurt Stone Processing Plant Co. LTD
4054,Менеджер отдела сопровождения,ЦУ MAXIMUM
4055,Консультант Визового Центра (на 6 месяцев),VF SERVICES (KAZAKHSTAN) LLP (ВИЭФ СЕРВИСИС (КАЗАХСТАН) ЛЛПИ)
4057,Водитель-помощник,SCS-Telecom
4058,Администратор стоматологической клиники,ЛЮБИМАЯ СТОМАТОЛОГИЯ
4059,HR-специалист,Сайлау
4060,Медсестра/Медбрат,GLAZCLINIC
4061,Администратор ресепшен,ТРЦ Керуен (Build SYSTEM)
4063,Продавец в сеть магазинов спорттоваров,Қанағат
4065,Офис-менеджер (с английским языком),BR-service
4066,Администратор,ТТК
4067,Помощник главного бухгалтера,FIDA CONCRETE
4068,Бухгалтер,Абикенов
4069,Менеджер по туризму,Агентство путешествий Ht.kz
4070,Торговый представитель алкоголь,Umit Orda Sauda
4071,Продавец - консультант онлайн заказов в магазин косметики KIWANO,Муратова
4072,Главный бухгалтер,Негосударственное учреждение Независимое агентство по обеспечению качества в образовании
4073,"Таргетолог в маркетинговое агентство, KasProfit",ALI
4074,Офис-менеджер,1С-Рейтинг
4075,Водитель,Мокеева В. О.
4076,Помощник бухгалтера,Dostar coffee
4079,Менеджер по продажам,Dream
4080,Помощник главного бухгалтера,Аква Дом
4082,Проектный менеджер,Digital Alliance (Диджитал Альянс)
4083,Руководитель проектов,Ecolos Engineering
4084,Инженер-проектировщик ОВК,HEATING SYSTEMS
4086,Главный бухгалтер,Skill Hub
4087,Администратор,Dirxen
4088,Менеджер международного экзаменационного центра (Астана),InterPress - International House
4089,Менеджер по продажам,Buro Architecture
4090,Технический специалист,ACM Partners
4091,Event-менеджер (Организатор мероприятий),DauInvest
4092,Редактор (журналист) сетевого издания на русском языке,ELORDA AQPARAT
4093,Главный бухгалтер,Самрук-Казына Инвест
4094,Личный мобилограф / видеограф / контент-мейкер для магазина Мужской одежды и обуви,Жамиева Айнагуль
4096,Преподаватель английского языка/English Teacher,English Education Group ( TM OXFORD )
4097,Продавец-консультант в сеть магазинов Orchestra (Астана),ORCHESTRA.KZ (ОРКЕСТРА.КЗ)
4098,Администратор,PVE holding
4099,Офис-менеджер,Жузен
4100,Личный Помощник Руководителя - Персон ассистент (бизнес-ассистент) Управ проектами в Астане,Еее
4101,Водитель легкового автомобиля,AKE Plast (АКЕ Пласт)
4102,Водитель-экспедитор на личном автомобиле,RB Brands
4104,Мерчендайзер,Молочный альянс
4105,Администратор ресепшен,Частная компания TOR'RE Ltd.
4106,Флорист,Flowers Astana
4107,Администратор в студию йоги / менеджер по продажам (Байтурсынова 5),ФЕЙФЕЛ И.Д.
4109,Офис-менеджер,АКТОБЕ ДАРМЕД
4110,Водитель Газели,"Фабричные окна, ТМ (Ар-Ал-Ди, ТОО)"
4111,Ассистент первого руководителя,QazaqOil (PetroRetail)
4112,Бухгалтер-кассир,RMK ENERGY TRADE
4113,Администратор клиники,Metabody Astana
4114,Продавец-флорист,Макенова
4115,Инженер-программист,Казахстанская социально-медицинская компания ЖАНҰЯ
4118,Помощник/ассистент руководителя,FRIGG
4119,Коррекционно-развивающий центр Logo academy +,Данат2030
4120,Санитарка/Санитар,Eyemax Astana
4121,Инженер по подбору оборудования,ACTON FLOW
4122,Ивент-менеджер,EZS Центральная Азия
4124,Менеджер по продажам,Hikari Ventures
4126,Миграционный консультант,WPK Group
4127,Упаковщик заказов для маркетплейсов,Издательство Фолиант
4128,Энергетик,БАРИТ- СЕРВИС
4129,Офис-менеджер,PARTNERS REALTY
4130,Менеджер отдела продаж,Invictus Astana
4131,"Сотрудник, помощник в полиграфию",F1Copy&Print
4133,Администратор бизнес-центра,BI Education
4134,"Специалист по логистике, г.Астана",DE Logistics
4135,Администратор стоматологии,EndoCenter
4136,"Administrative, Financial and Logistic Assistant, Astana",FIRCaspian
4137,Продавец-кассир,Сирбаева
4138,Junior Java Developer,DACO Software
4140,Официант в НОВЫЙ ресторан,ERA RESTAURANT
4142,Медицинская сестра/Медицинский брат,ЦЕНТР ТЕЛО
4143,Администратор в стоматологию,Doctor Dent
4144,Кассир (в розничный магазин),КазСтандарт Азия
4145,Электрик-техник в отель Астана,Сеть отелей КАЗЖОЛ (ТОО МАК-СЕРВИС ЛТД)
4147,Специалист поддержки (стажер-практикант),NOVOI
4148,Продавец-консультант косметики,Мария
4149,Медицинская сестра/Медицинский брат общей практики,Центр Семейного Здоровья №5
4150,Начальник отдела развития персонала,QazaqOil (PetroRetail)
4151,Офис-менеджер,INTERNATIONAL SCHOOL OF NUR-SULTAN CITY
4153,Инженер ПТО,СК Строй Обеспечение
4154,Офис-менеджер/администратор в учебный центр,Зангер
4155,Оператор контакт-центра,Микрофинансовая организация «R-Finance»
4156,Техничка/уборщик,12 месяцев-Астана
4158,Менеджер в международный отдел,КАЗАХСТАНСКИЙ МЕЖДУНАРОДНЫЙ КОЛЛЕДЖ
4162,Делопроизводитель,Кыпшак К
4163,Бариста,House of Raya
4165,Дизайнер в полиграфию,JSD полиграфия
4169,Менеджер по продажам B2B (лакокрасочные материалы),REC-A
4171,SMM/мобилограф/видеограф,Великое
4172,"Специалист по поддержке сбыта, Астана",JTI Kazakhstan
4173,Контролер ОТК,Танжер-1
4174,Ит специалист,Soft Product
4175,Инженер по технике безопасности и охране труда,Мясная продукция
4176,Менеджер по проекту - логист,Iron Shell
4177,Менеджер цифрового обслуживания,Народный банк Казахстана
4178,Инженер ПТО,Магнат Строй Инжиниринг
4179,Руководитель проекта (мобильное приложение),ЧК BI Development Ltd.
4180,Администратор,Underground Gym
4181,Бухгалтер,Электромонтаж
4182,SMM-менеджер,Камарова М.А.
4183,Инженер КИПиА,Astanaceramic
4184,Менеджер по туризму,Web Tours
