,name,company
149,Инженер по подбору оборудования,ACTON FLOW
151,Водитель-курьер,КДЛ ОЛИМП (ТОО Мырза-Хан)
152,Бухгалтер-ревизор,Millina Food Production company Ltd
154,Письменный переводчик английского/казахского/русского языка,GLT
156,Ассистент бухгалтера,TECHNO WEST LTD
157,Продавец-консультант,Alina Group
158,HSE Тренинг Координатор,FSSA
159,"Начинающий HR ""в ночь""",Онлайн
160,Бухгалтер по налогам,Petro НефтеГазСервис
161,Заведующий складом,Caspian Coast
163,Бухгалтер,Romantic
164,Техник связист,FIRCaspian
166,Помощник бухгалтера,Qamqor Qurylys
167,Менеджер по комплаенсу,ТенизСервис
168,Сотрудник КСК и ОС,West Recycling Company
169,Менеджер отдела продаж (оборудование для нефтегазовой отрасли),КаспиМунайКапитал
170,Юрист,АКТАУСКИЙ МЕЖДУНАРОДНЫЙ КОНТЕЙНЕРНЫЙ ХАБ
172,Юрист,Qazaqstan- Finance
174,Менеджер по туризму,Q travel
175,Бухгалтер по налогам,Equipment Support
176,Главный бухгалтер,Jan De Nul Kazakhstan (Ян Де Нул Казахстан)
177,"Промоутер, бренд IQOS (Хорека)",АЛИДИ Казахстан
178,"Продавец-консультант (16 мкр-он, ТРК ""Актау"")",Respect Retail Group
179,Менеджер по образованию за рубежом,Compass Education
180,Водитель-Экспедитор,Romantic
181,"Ведущий инженер по охране труда, технике безопасности и охране окружающей среды",Мобил Сервис
182,Специалист Отдел по работе с клиентами (Мангистауский ОФ),Жилищный строительный сберегательный банк Отбасы банк
183,Продавец-кассир в ТРЦ AK KALA MALL,Зейналов
184,Ревизор,Дари-дармек орталыгы
185,Бухгалтер,Анега-Казахстан
187,Менеджер по продажам,SUNCAD
188,Бухгалтер-ревизор,Декообраз
189,Домашний помощник (с частичной помощью с детьми),Adil Fasad
190,Бухгалтер товарной группы,"Евразиан Фудс Корпорэйшн, АО"
191,Помощник программиста на платформе «1С:Предприятие 8»,ADM Group Company
194,Менеджер по продажам,MZM Group
195,Менеджер по продажам,Актау Строй Контракт
196,Сервисный инженер,Ordamed
197,Менеджер прямых продаж (г. Актау),Wurth Kazakhstan Ltd
198,Оператор call-центра / оператор колл центра,Семёнов А.А.
199,Продавец-консультант (Актау),Дико&Полезно
200,Менеджер по продажам,Зерделі
201,Ведущий бухгалтер,АЛЁКА
202,Логист по станции/порту Актау,“Международная логистика (CRCT) Казахстан
203,Инженер ПТО,Батыс-2008
204,Материальный бухгалтер,Производственная Фирма Магаш
206,Юрисконсульт/юрист,КВАНТУМ ОФФШОР ИНЖИНИРИНГ
207,"Главный менеджер департамента безопасности и охраны труда, ЧС, ГО и ООС",ТенизСервис
208,Инженер-проектировщик,Kaz Munai Technology
209,Специалист по кадрам,Caspian Coast
210,Инженер-строитель проектировщик,Caspian Engineering & Research
211,Руководитель отдела продаж,SHETEL.KZ
212,Главный бухгалтер,Bohemia Luxe
213,Графический дизайнер,Mediana Services Limited
214,Генеральный директор,Жайлы Орын
217,"Стажер в департамент наземного обслуживания, г. Актау","AIR ASTANA, АО"
219,Плотник / Отделочник,Stravelkz
220,Продавец-консультант мебели,Козев В.А.
221,Упаковщик\сборщик заказов на склады,МК Эксперт
222,Бухгалтер,АКТАУСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ
223,Специалист по продажам новых автомобилей,Skill Hub
226,Графический дизайнер,типография GOLDEN Print
227,Установщик в компанию жалюзи,Гайдар
228,Хостес,FRIGG
229,Бухгалтер на первичную документацию,СПМНУ
230,Водитель/Экспедитор-заведующий складом c личным автомобилем,IMPULSE
231,Педагог по подготовке к школе,Кушерова
232,Менеджер по логистике,Престиж (ТОО Идальго Актау)
233,Тайный проверяющий,4Service Holdings GmbH
234,Инженер (слесарь) КИПиА / инженер АСУ,«КазПромАвтоматизация»
235,"Продавец-консультант adidas, PART TIME, ТЦ Хан",adidas Kazakhstan
236,Менеджер,JS Qazaqstan
237,Помбар в кофейню KRENDELINN,Kievinn
238,Purchasing and Supply Manager/Менеджер по закупкам и снабжению,Grantum Supply Group
239,Экономист,KazCert International
240,"Продавец-консультант (бренд IQOS, Островки)",АЛИДИ Казахстан
241,Инженер-лаборант,НИИСТРОМПРОЕКТ
242,"Инженер по техническому надзору 1,2,3 категории г. Актау, Мангистауская область",KAZ Надзор
244,Специалист по тендерам и государственным закупкам,ИнтегроСофт
245,"Инженер-эколог. HSE Coordinator/Координатор по ТБ, ОЗ и ООС (техника безопасности, охрана здоровья).",Halliburton Inc.
246,Офис-менеджер,Даерс
247,Материальный бухгалтер,CAPITAL PLAST KZ
248,Бухгалтер по расчету заработной платы,ADM Group Company
249,Грузчик,ТехноGRAD
250,Contract Administrator,Brunel Atyrau LLP
251,Главный бухгалтер,HOMBRE
252,Инспектор по кадрам,КДЛ ОЛИМП (ТОО Мырза-Хан)
253,Водитель-Экспедитор,ФЭСТ ЛАЙН
254,Торговый представитель,Амирхан
255,"Супервайзер по обслуживанию в аэропорту, г. Актау","AIR ASTANA, АО"
256,Судосборщик (сборщик корпусов металлических судов),Business name is Osaühing Universal Baltic Partners
257,Повар в ресторан,МВС-Групп
258,"Менеджер по сертификации, стандартизации и лицензированию",Судовое оборудование и сервис
259,Помощник педагога,Акопова Е.Р.
260,Слесарь сборщик,EXPRESS STROY GROUP
261,Менеджер по продажам спецтехники,Спец-Авто
263,Менеджер по кадровому делопроизводству,АКТАУ СЕРВИС КУРЫЛЫС
264,Визовый менеджер,Compass Education
265,Ведущий инженер-энергетик,Транстелеком
266,Администратор в стоматологию / ресепшен,Семёнов А.А.
267,Менеджер по продажам в интернет-магазин (со знанием казахского языка),Callmedia
269,Инженер-программист,Мангистауский атомный энергетический комбинат
270,Ведущий менеджер по продажам с корпоративными клиентами,Транстелеком
271,Бухгалтер по налогам,Каспий Нефть
272,Бухгалтер-кассир/Специалист по приёму заказов,Пони Экспресс
273,Продавец-консультант в магазины детской одежды Orchestra,ORCHESTRA.KZ (ОРКЕСТРА.КЗ)
274,Инженер по строительству (г. Актау),CHINA HYWAY GROUP LIMITED
276,"Менеджер отдела продаж ""В2В""",Кипер.KZ
277,Ночной менеджер караоке бара,JS Qazaqstan
279,Ипотечный менеджер,Ипотека Финанс Групп
280,Менеджер по продажам,Omir
282,Начинающий мастер по ремонту электросамокатов,Кикшеринг КЗ
283,Помощник юриста,Трансазия
284,Инженер ПТО,Китайская Строительная Компания
285,Главный инженер,Коркем Телеком
286,"Back-end разработчик (PHP, Laravel)",Mediana Services Limited
287,Бухгалтер,Caspian Oil City
289,Бухгалтер аудитор,KZPAYDA
292,Бариста в кофейню KRENDELINN,Kievinn
293,Начальник участка/смены,Central Asia Industrial Company
296,Менеджер по продажам,Burkit Finance Astana
297,Экономист планово-экономического отдела,TECHNO TRADING LTD
298,Управляющий рестораном в г.Актау,Кульманова У.Е
300,Менеджер по работе с заказчиками,Назерке
302,Продавец-консультант/Администратор,INTERSOUND (ИНТЕРСАУНД)
303,Специалист по закупкам (со знанием казахского языка),Яндекс
304,Медицинская сестра/Медицинский брат,Аксон Мед
306,Грузчик,Асар Құрылыс Қызмет
307,Инженер отдела закупок,Marine Support Services
308,Агент по бронированию и продаже билетов 3 категории система AMADEUS,Трансавиа
309,"Консультант 1С (инженер, сектор аутстаффинга)",КМГ-Кумколь
310,Инженер-конструктор,АК БЕКЕТ
312,Универсальный сотрудник (Fast Food) M-eat by Khabib,МУХАШЕВ Б. Ж.
313,Офис-менеджер,Даерс
314,IT-специалист,Mediana Services Limited
315,Process Engineer / Инженер-технолог,Кен-сары
316,Торговый представитель строительных материалов B2B,Давлетов А.Х.
317,Администратор,Зерделі
318,Оператор 1C,Казакхстрой
319,Слесарь-механик грузовых автомобилей,БИЙБОЛАТОВ Р.Б.
320,Региональный Kaspi-менеджер,ТехноGRAD
323,Менеджер по работе с клиентами,Витайм
325,Кладовщик,CHINA HYWAY GROUP LIMITED
326,Водитель-экспедитор,Хантулин А.И.
327,Менеджер по безопасности и охране труда Баутинского филиала,ТенизСервис
328,Материальный бухгалтер,BEKTRANS LTD
329,Инженер по охране труда и технике безопасности,Аксон Мед
332,Шеф-повар в г.Жанаозен,Кульманова У.Е
333,Торговый представитель,Батыс Shafa
334,"Продавец-консультант в магазин Kimex (г.Актау,2 мкр. д.47 B)",K&K GmbH
335,Экономист,Ақ жол құрылыс
336,Менеджер по продажам,Gamehub
337,Помощник/ассистент руководителя,МиГ Капитал
338,Преподаватель IT дисциплин,ITSTEP Academy Kazakhstan
339,Электромонтер сетей связи,X-COMMUNICATION
340,Электрик,Hayat Builders Company
341,Комплектовщик/упаковщик на склады,МК Эксперт
342,Региональный менеджер по продажам,ЕсікОптАқтау
344,Системный администратор,ИнтегроСофт
345,Переводчик с Китайского языка,CHINA HYWAY GROUP LIMITED
346,Менеджер отдела оптовых продаж,Торговый дом Кама Казахстан
347,Финансовый контролер,Каскор-Машзавод
349,Мастер цеха,DCG Aktau
350,Менеджер по продажам строительных материалов,Adil Fasad
351,Менеджер по продажам,Alan Towers Construction
352,Директор производственной компании,Жайлы Орын
353,Флорист,Romantic
354,Категорийный менеджер,ADM Group Company
356,Менеджер по закупу лекарств,АҚҚУ фарм
357,Промоутер на табачный бренд в продуктовые магазины (16-00 - 20-00),CONTINEO
358,"Инженер ПТО (водопровод, насосные станции, резервуары)",Астанаинжкомстрой
359,Кассир-оператор,FRIGG
361,Координатор по логистике,Simplex Engineering
363,Специалист по кадрам,"ГКП Каспий жылу, су арнасы Управления энергетики и жилищно-коммунального хозяйства Мангистауской области"
364,Хостес,JS Qazaqstan
365,Официант,Акперова Светлана Алекпер кызы
366,Стропальщик,Hayat Builders Company
368,Главный бухгалтер,ADVER.KZ
369,Менеджер по железнодорожным перевозкам,EXDEL
370,Менеджер в отдел коммерции,NS 2GIS
371,Оценщик в ломбард,Астра-Лoмбард
375,Монтажник ворот и рольставен DoorHan,Воротные системы
376,Валютный кассир г.Актау,YES EXCHANGE
377,Разнорабочий,Сауыт Компании
378,Водитель категории E на вахту в Мангистау,ТРАНСВЕЛЛ
379,Менеджер по развитию отношений с клиентами,ACTON FLOW
380,Крановщик,Каскор-Машзавод
381,Администратор в ресторан,Бейсебаев Т.М.
383,Оператор call-центра,Romantic
384,Слесарь - механик,Bio Water Group
385,Менеджер по продажам,Истурлаева Лиза
386,Менеджер по продажам,Жандос
387,Электромонтажник по слаботочным системам,Энергостроймонтаж
388,Офис - менеджер,НОГАЕВА ГУЛАЙЕМ КЕМАЛОВНА
390,Аналитик-экономист,Caspian Coast
391,"Супервайзер в торговую компанию Procter&Gamble, г. Актау",Apple City Corps
392,Search Quality Improvement Specialist (Turkish and English languages),Яндекс Крауд
394,Маркетолог,HOMBRE
395,Архитектор (3D визуализатор),«Qazaq Building Project»
396,Менеджер IT-проектов (Project Manager),Mediana Services Limited
397,Менеджер по туризму (международный и внутренний),West Travel Aktau
